2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-002
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-003
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-004
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-005
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-006
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-007
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-008
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-009
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-010
2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-011
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-003
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-003
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-003
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-003
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-003
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-003
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-003
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-004
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-005
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-006
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-007
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-008
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-009
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-010
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-011
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-004
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-005
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-006
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-007
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-008
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-009
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-010
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-011
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-004
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-005
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-006
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-007
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-008
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-009
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-010
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-011
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-004
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-005
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-006
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-007
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-008
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-009
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-010
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-011
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-004
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-005
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-006
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-007
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-008
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-009
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-010
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-011
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-004
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-005
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-006
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-007
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-008
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-009
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-010
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-011
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-004
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-005
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-006
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-007
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-008
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-009
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-010
2025-10-16 13:19:12 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-011
2025-10-16 13:19:21 | staff:STF-002 | action:VIEW_RESIDENT | Authenticated
2025-10-16 13:19:36 | staff:STF-002 | action:ADD_RESIDENT | Assigned resident RES-001 to W1-R101-B4
2025-10-16 13:19:36 | staff:STF-002 | action:ADD_RESIDENT | Assigned resident RES-001 to bed W1-R101-B4
2025-10-16 13:19:50 | staff:STF-002 | action:ADD_RESIDENT | Assigned resident RES-002 to W1-R102-B2
2025-10-16 13:19:50 | staff:STF-002 | action:ADD_RESIDENT | Assigned resident RES-002 to bed W1-R102-B2
2025-10-16 13:20:05 | staff:STF-003 | action:VIEW_RESIDENT | Authenticated
2025-10-16 13:20:31 | staff:STF-003 | action:WRITE_PRESCRIPTION | Prescription PRE-001 added for resident RES-001
2025-10-16 13:20:31 | staff:STF-003 | action:WRITE_PRESCRIPTION | Prescription PRE-002 added for resident RES-001
2025-10-16 13:20:31 | staff:STF-003 | action:WRITE_PRESCRIPTION | Prescription PRE-001 added for resident RES-001
2025-10-16 13:20:31 | staff:STF-003 | action:WRITE_PRESCRIPTION | Prescription PRE-002 added for resident RES-001
